"ID","pracword","valence","word","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_3.keys","key_resp_3.rt","key_resp_4.keys","key_resp_4.rt","response.keys","response.corr","response.rt","date","frameRate","expName","session","participant","trial40","trial40c","rt","logrt","id","valenceE","rtms","idcat","valence2","valcat","val2cat"
205,NA,"positive","courageous",NA,NA,NA,NA,0,0,0,15,NA,NA,NA,NA,"up",0,0.591831923,"2016_Sep_30_1215",59.98444007,"heterogeneity160929b",1,205,1,-0.475,0.591831923,6.38322268072149,205,0.5,591.831923,"205",1,"0.5","1"
205,NA,"positive","persistent",NA,NA,NA,NA,0,1,1,13,NA,NA,NA,NA,"up",0,0.991534948,"2016_Sep_30_1215",59.98444007,"heterogeneity160929b",1,205,2,-0.45,0.991534948,6.89925419494331,205,0.5,991.534948,"205",1,"0.5","1"
205,NA,"negative","fearful",NA,NA,NA,NA,0,2,2,24,NA,NA,NA,NA,"down",0,1.275992155,"2016_Sep_30_1215",59.98444007,"heterogeneity160929b",1,205,3,-0.425,1.275992155,7.15147931576671,205,-0.5,1275.992155,"205",-1,"-0.5","-1"
205,NA,"positive","idealistic",NA,NA,NA,NA,0,3,3,3,NA,NA,NA,NA,"up",0,0.808661938,"2016_Sep_30_1215",59.98444007,"heterogeneity160929b",1,205,4,-0.4,0.808661938,6.69538095333322,205,0.5,808.661938,"205",1,"0.5","1"
205,NA,"negative","messy",NA,NA,NA,NA,0,4,4,36,NA,NA,NA,NA,"up",0,0.910298824,"2016_Sep_30_1215",59.98444007,"heterogeneity160929b",1,205,5,-0.375,0.910298824,6.81377292362861,205,-0.5,910.298824,"205",-1,"-0.5","-1"
205,NA,"positive","tidy",NA,NA,NA,NA,0,5,5,4,NA,NA,NA,NA,"down",0,0.694205999,"2016_Sep_30_1215",59.98444007,"heterogeneity160929b",1,205,6,-0.35,0.694205999,6.54276874499219,205,0.5,694.205999,"205",1,"0.5","1"
205,NA,"positive","thrifty",NA,NA,NA,NA,0,6,6,2,NA,NA,NA,NA,"down",0,1.059420109,"2016_Sep_30_1215",59.98444007,"heterogeneity160929b",1,205,7,-0.325,1.059420109,6.96547697042924,205,0.5,1059.420109,"205",1,"0.5","1"
205,NA,"positive","wise",NA,NA,NA,NA,0,7,7,19,NA,NA,NA,NA,"up",0,0.693953991,"2016_Sep_30_1215",59.98444007,"heterogeneity160929b",1,205,8,-0.3,0.693953991,6.54240566292012,205,0.5,693.953991,"205",1,"0.5","1"
205,NA,"positive","enthusiastic",NA,NA,NA,NA,0,8,8,16,NA,NA,NA,NA,"up",0,0.624419928,"2016_Sep_30_1215",59.98444007,"heterogeneity160929b",1,205,9,-0.275,0.624419928,6.43682310357081,205,0.5,624.419928,"205",1,"0.5","1"
205,NA,"positive","proud",NA,NA,NA,NA,0,9,9,11,NA,NA,NA,NA,"up",0,0.493678093,"2016_Sep_30_1215",59.98444007,"heterogeneity160929b",1,205,10,-0.25,0.493678093,6.20188367117923,205,0.5,493.678093,"205",1,"0.5","1"
205,NA,"negative","inhibited",NA,NA,NA,NA,0,10,10,25,NA,NA,NA,NA,"down",0,1.02561903,"2016_Sep_30_1215",59.98444007,"heterogeneity160929b",1,205,11,-0.225,1.02561903,6.93305164098646,205,-0.5,1025.61903,"205",-1,"-0.5","-1"
