"Participant","block","trial","stim","stimgroup","RT","Acuracy","stimposition","maskside","response","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","AlertEffect_first","OrientingEffect_first","ConflictEffect_first","GrandMeanEffect_first","ANT_Accuracy_first","Dominant_Eye_first","Right_Eye_Acuity_first","Left_Eye_Acuity_first","Age_first","Gender1male2female_first","Face_orientation","fo1","fo2","trial.r"
1,2,27,"folder/matchedM049.png  ",1,1.000397882,1,4,2,4,1,0.947916667,"Selected",-0.764056108,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,26
1,2,28,"folder/matchedM006SL.png",6,0.855814041,1,4,1,4,1,0.947916667,"Selected",-0.8959726,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,27
1,2,29,"folder/matchedM072IN.png",3,0.964708566,1,3,2,3,1,0.947916667,"Selected",-0.796618595,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,28
1,2,30,"folder/matchedM021SL.png",5,1.33268143,1,4,2,4,1,0.947916667,"Selected",-0.460884747,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,29
1,2,31,"folder/matchedM019IN.png",3,1.262904359,1,3,2,3,1,0.947916667,"Selected",-0.524548476,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,30
1,2,32,"folder/matchedM003IN.png",4,2.25600418,1,1,1,1,1,0.947916667,"Selected",0.381543403,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,31
1,2,33,"folder/matchedM067SR.png",5,1.06703872,1,4,2,4,1,0.947916667,"Selected",-0.703253839,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,32
1,2,34,"folder/matchedM021SL.png",6,2.35412853,1,2,1,2,1,0.947916667,"Selected",0.471070835,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,33
1,2,35,"folder/matchedM067SR.png",6,1.636149348,1,2,1,2,1,0.947916667,"Selected",-0.184004407,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,34
1,2,36,"folder/matchedM016IN.png",4,2.296062995,1,1,1,1,1,0.947916667,"Selected",0.418092566,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,35
