time,phase,hr,ibi,rrate,ramp,hrbase,ibibase,b.hr,b.ibi,b.rrate,b.ramp,b.hrbase,b.ibibase
226,femaleprovide,62.460962,960.6,17.724126,0.000102,68.6811477,874.6273232,90.022506,666.5,15.875483,0.000001,89.4462967,672.0490033
227,femaleprovide,64.759849,926.5,13.027121,0.000589,68.6811477,874.6273232,87.463557,686,18.096003,0.000003,89.4462967,672.0490033
228,femaleprovide,68.150841,880.4,13.061612,0.00085,68.6811477,874.6273232,92.858722,646.142857,21.920191,0.000002,89.4462967,672.0490033
229,femaleprovide,61.193269,980.5,17.627072,0.000031,68.6811477,874.6273232,92.348285,649.714286,15.740624,0.000095,89.4462967,672.0490033
230,femaleprovide,60.836502,986.25,26.225542,0.000044,68.6811477,874.6273232,92.838196,646.285714,14.678481,0.000076,89.4462967,672.0490033
231,femaleprovide,76.277651,786.6,17.474891,0.052951,68.6811477,874.6273232,97.244733,617,13.541645,0.000445,89.4462967,672.0490033
232,femaleprovide,67.857951,884.2,13.62217,0.0059,68.6811477,874.6273232,87.933561,682.333333,17.026111,0.00012,89.4462967,672.0490033
233,femaleprovide,58.153622,1031.75,17.092074,0.000078,68.6811477,874.6273232,86.705202,692,14.907919,0.000036,89.4462967,672.0490033
234,femaleprovide,58.403634,1027.333333,13.035424,0.000218,68.6811477,874.6273232,83.526682,718.333333,18.545298,0.000025,89.4462967,672.0490033
235,femaleprovide,62.735257,956.4,23.545328,0.000284,68.6811477,874.6273232,80.753701,743,20.485881,0.000138,89.4462967,672.0490033
236,femaleprovide,67.114094,894,16.832404,0.000214,68.6811477,874.6273232,92.327984,649.857143,13.792127,0.00185,89.4462967,672.0490033
237,femaleprovide,74.441687,806,25.48623,0.000755,68.6811477,874.6273232,87.697929,684.166667,11.028034,0.000211,89.4462967,672.0490033
238,femaleprovide,72.850898,823.6,17.599627,0.000921,68.6811477,874.6273232,86.977531,689.833333,19.301105,0.000207,89.4462967,672.0490033
239,femaleprovide,71.581961,838.2,14.706579,0.002445,68.6811477,874.6273232,95.868523,625.857143,14.725153,0.001069,89.4462967,672.0490033
240,femaleprovide,72.886297,823.2,16.978434,0.000193,68.6811477,874.6273232,85.02598,705.666667,20.829792,0.000004,89.4462967,672.0490033
